claim_id	claim	source_file	generating_script_or_pipeline
PSEUDOREP_TYPEI	Naive cell-level type-I inflation and patient-level calibration	results/pseudoreplication/pseudoreplication_cell_count_null.csv	experiments/pseudoreplication_stress_test.py
CONTRACT_REFERENCE	Reference choice changes evidence states	results/reference_and_loss/R1_reference_contract_matrix_1000.csv	reference sensitivity pipeline
LOSS_RELATIVITY	Fixed-prediction loss sensitivity	results/reference_and_loss/R4_loss_relativity_fixed_predictions.csv	reference/loss audit pipeline
DELETE_ONE_GSE123813	Full-pipeline delete-one patient audit for GSE123813	results/delete_one/GSE123813__full_pipeline_delete_one.csv	experiments/full_pipeline_delete_one_patient.py
DELETE_ONE_GSE236581	Full-pipeline delete-one patient audit for GSE236581	results/delete_one/GSE236581__full_pipeline_delete_one.csv	experiments/full_pipeline_delete_one_patient.py
DELETE_ONE_AML	Full-pipeline delete-one patient audit for AML	results/delete_one/AML__full_pipeline_delete_one.csv	experiments/full_pipeline_delete_one_patient.py
DELETE_ONE_GSE272993	Full-pipeline delete-one patient audit for GSE272993	results/delete_one/GSE272993_9state__full_pipeline_delete_one.csv	experiments/full_pipeline_delete_one_patient.py
ACCURACY_EVIDENCE	Accuracy winner versus evidential support across nine cohorts	results/accuracy_vs_evidence/lopo_2000_accuracy_vs_evidence.csv	experiments/predictor_head_to_head.py
GSE315928_LOPO	Four-candidate multi-seed external post-specification diagnostic	results/gse315928/complete_validation/lopo_4candidate_4seed_2000.csv	experiments/gse315928_external_validation.py
GSE315928_HONEST	20-development / 13-confirmation Honest analysis	results/gse315928/complete_validation/honest_20dev_13confirmation.csv	experiments/gse315928_external_validation.py
GSE315928_SECONDARY	Secondary F1-to-F2 and B-to-F2 diagnostics	results/gse315928/secondary_transitions/secondary_candidate_family_diagnostics.csv	GSE315928 secondary-transition pipeline
SEED_STABILITY	Locked-real bootstrap and seed stability	results/bootstrap_seed_stability/runs.csv	locked-real stability pipeline
PATIENT_REPLICATION	Patient-normalized fitting replication invariance	results/reference_and_loss/R5_patient_replication_invariance_real.csv	patient replication audit
TAIL_SAFETY	Patient-level tail-harm summaries	results/reference_and_loss/R3_tail_safety_locked_real.csv	tail-safety audit
GSE174554_HONEST	Target-sealed source-expression Honest confirmation	validation/gse174554_expression/results/honest_confirmation/honest_candidate_summary.csv	validation/gse174554_expression/experiments/phase07_honest_confirmation.py
GSE174554_LEAKAGE	Target-access and leakage checks	validation/gse174554_expression/results/leakage_gate/leakage_checks.csv	validation/gse174554_expression/experiments/phase06_leakage_gate.py
ETA_ROBUSTNESS	GraphFlow scalarization-coefficient sensitivity	validation/foundational_inputs/results/eta_flow_label_sensitivity.csv	validation/foundational_inputs/run_robustness.py
ONTOLOGY_ROBUSTNESS	Outcome-blind ontology coarsening sensitivity	validation/foundational_inputs/results/ontology_fixed_prediction_robustness.csv	validation/foundational_inputs/run_robustness.py
REPEATED_SPLIT	Repeated frozen-split stress test	validation/split_and_nonlinear/results/gse174554_repeated_frozen_split_audit.csv	validation/split_and_nonlinear/run_robustness.py
NONLINEAR_PROXY	Nonlinear source-expression capacity stress test	validation/split_and_nonlinear/results/gse174554_deep_mlp_proxy_audit.csv	validation/split_and_nonlinear/run_robustness.py
DUAL_SCOPE	Cohort-conditional versus population Honest inference	validation/statistical_inference/results/dual_scope_honest_audit.csv	validation/statistical_inference/run_checks.py
